timestamp,cpu_usage,memory_usage,predicted_cpu_usage
2025-03-27 20:19:42.828094,41.20,40.00,0.00
2025-03-27 20:19:47.920250,14.60,40.10,0.00
2025-03-27 20:19:53.007778,6.10,40.00,0.00
2025-03-27 20:19:58.082581,6.20,39.90,0.00
2025-03-27 20:20:03.162957,6.90,39.80,0.00
2025-03-27 20:20:08.248220,5.80,39.80,0.00
2025-03-27 20:20:13.309792,18.90,39.90,0.00
2025-03-27 20:20:18.534940,18.80,39.80,0.00
2025-03-27 20:20:23.680507,18.70,39.80,0.00
2025-03-27 20:20:28.770189,18.30,39.70,0.00
2025-03-27 20:20:34.047978,24.80,40.00,0.00
2025-03-27 20:20:39.331546,22.10,40.00,0.00
2025-03-27 20:20:44.592982,34.30,40.00,0.00
2025-03-27 20:20:49.866310,11.10,39.90,0.00
2025-03-27 20:20:55.106176,12.80,40.10,0.00
2025-03-27 20:21:00.358238,18.50,40.20,0.00
2025-03-27 20:21:05.639199,10.90,40.00,0.00
2025-03-27 20:21:10.905106,8.10,40.00,0.00
2025-03-27 20:21:16.166684,7.70,40.00,0.00
2025-03-27 20:21:21.416964,17.70,40.10,0.00
2025-03-27 20:21:26.658282,78.30,42.20,0.00
2025-03-27 20:21:33.048802,72.90,43.10,0.00
2025-03-27 20:21:38.568095,34.90,44.00,0.00
2025-03-27 20:21:43.833737,7.90,44.00,0.00
2025-03-27 20:21:49.099576,6.20,44.00,0.00
2025-03-27 20:21:54.417177,26.90,43.60,0.00
2025-03-27 20:21:59.738385,18.10,43.50,0.00
2025-03-27 20:22:04.987756,15.10,43.40,0.00
2025-03-27 20:22:10.235670,22.20,43.50,0.00
2025-03-27 20:22:15.486400,19.10,43.60,0.00
2025-03-27 20:22:20.767364,25.90,43.70,0.00
2025-03-27 20:22:26.100842,35.00,43.90,0.00
2025-03-27 20:22:31.445151,30.70,44.10,0.00
2025-03-27 20:22:36.762884,24.10,44.10,0.00
2025-03-27 20:22:42.059579,29.20,44.20,0.00
2025-03-27 20:22:47.339469,25.80,44.40,0.00
2025-03-27 20:22:52.778867,30.70,44.50,0.00
2025-03-27 20:22:58.029273,17.80,44.50,0.00
2025-03-27 20:23:03.298745,22.50,44.30,0.00
2025-03-27 20:23:08.593063,18.20,43.40,0.00
2025-03-27 20:23:13.921519,27.70,43.30,0.00
2025-03-27 20:23:19.305622,44.60,43.80,0.00
2025-03-27 20:23:24.567802,24.40,43.80,0.00
2025-03-27 20:23:29.877985,34.10,44.10,0.00
2025-03-27 20:23:35.164522,20.30,43.20,0.00
2025-03-27 20:23:40.410433,22.90,43.40,0.00
2025-03-27 20:23:45.766788,32.90,43.80,0.00
2025-03-27 20:23:51.032120,22.70,43.50,0.00
2025-03-27 20:23:56.276949,18.60,43.90,0.00
2025-03-27 20:24:01.586306,38.60,44.40,0.00
2025-03-27 20:24:06.911512,30.40,44.50,0.00
2025-03-27 20:24:12.168292,15.10,44.40,0.00
2025-03-27 20:24:17.468544,21.20,44.30,0.00
2025-03-27 20:24:22.750521,36.30,44.40,0.00
2025-03-27 20:24:28.054894,30.10,44.50,0.00
2025-03-27 20:24:33.573748,32.20,44.60,0.00
2025-03-27 20:24:38.979950,32.10,44.60,0.00
2025-03-27 20:24:44.325185,23.80,44.50,0.00
2025-03-27 20:24:49.585210,36.00,44.70,0.00
2025-03-27 20:24:55.055408,49.30,41.60,0.00
2025-03-27 20:25:26.031334,49.40,40.80,0.00
2025-03-27 20:25:31.329836,29.60,40.40,0.00
2025-03-27 20:25:36.622857,21.20,40.30,0.00
2025-03-27 20:25:41.931042,12.00,40.20,0.00
2025-03-27 20:25:47.206587,23.70,40.40,0.00
2025-03-27 20:25:52.503284,25.50,40.40,0.00
2025-03-27 20:26:02.257519,49.80,40.80,0.00
2025-03-27 20:26:07.517514,14.70,40.50,0.00
2025-03-27 20:26:12.788383,24.30,40.60,0.00
2025-03-27 20:26:18.069629,39.40,40.70,0.00
2025-03-27 20:26:23.364850,38.10,40.80,0.00
2025-03-27 20:26:28.797448,20.40,40.60,0.00
2025-03-27 20:26:34.082897,15.60,40.60,0.00
2025-03-27 20:26:39.349677,9.50,40.60,0.00
2025-03-27 20:26:44.595218,5.20,40.60,0.00
2025-03-27 20:26:49.843206,43.80,40.70,0.00
2025-03-27 20:26:55.208397,34.30,40.70,0.00
2025-03-27 20:27:00.520939,31.40,40.70,0.00
2025-03-27 20:27:05.847547,24.70,40.70,0.00
2025-03-27 20:27:11.092955,5.50,40.70,0.00
2025-03-27 20:27:16.351649,7.30,40.70,0.00
2025-03-27 20:27:21.609397,5.90,40.70,0.00
2025-03-27 20:27:26.936036,18.70,40.60,0.00
2025-03-27 20:27:32.225764,17.50,40.80,0.00
2025-03-27 20:27:37.485220,8.30,40.70,0.00
2025-03-27 20:27:42.746593,28.40,40.60,0.00
2025-03-27 20:27:48.023675,15.20,40.50,0.00
2025-03-27 20:27:53.364184,22.30,40.70,0.00
2025-03-27 20:27:58.861659,31.80,40.60,0.00
2025-03-27 20:28:04.187394,32.20,40.70,0.00
2025-03-27 20:28:09.510856,49.10,41.00,0.00
2025-03-27 20:28:14.892762,44.30,41.00,0.00
2025-03-27 20:28:20.317134,42.80,40.90,0.00
2025-03-27 20:28:25.698862,43.60,41.20,0.00
2025-03-27 20:28:31.120118,54.50,41.10,0.00
2025-03-27 20:28:36.756126,54.40,41.20,0.00
2025-03-27 20:28:42.180700,23.90,41.30,0.00
2025-03-27 20:28:55.961953,60.20,41.20,49.50
2025-03-27 20:29:01.248460,22.70,41.20,49.29
2025-03-27 20:29:06.528118,27.10,41.20,48.63
2025-03-27 20:29:11.823507,11.80,41.10,42.47
2025-03-27 20:29:17.190930,14.50,41.10,40.65
2025-03-27 20:29:22.467286,18.10,41.20,36.37
2025-03-27 20:29:27.724385,10.00,41.00,29.86
2025-03-27 20:29:32.991802,6.80,40.80,20.21
2025-03-27 20:29:38.259141,6.70,40.80,14.95
2025-03-27 20:29:43.516583,5.70,40.70,16.23
2025-03-27 20:29:48.769351,19.20,41.00,1.97
2025-03-27 20:29:54.287520,28.30,40.80,9.36
2025-03-27 20:29:59.557828,34.50,40.90,7.94
2025-03-27 20:30:05.385226,38.80,41.00,13.25
2025-03-27 20:30:10.670387,27.50,41.00,15.00
2025-03-27 20:30:16.004190,23.90,41.00,17.87
2025-03-27 20:30:21.287423,27.00,41.00,24.59
2025-03-27 20:30:26.604393,27.50,41.00,30.03
2025-03-27 20:30:38.288280,78.00,41.60,33.93
2025-03-27 20:30:43.621269,26.90,41.70,38.57
2025-03-27 20:30:48.871002,41.10,41.90,37.14
2025-03-27 20:30:54.183264,18.20,41.90,36.15
2025-03-27 20:30:59.521464,44.80,41.50,34.83
2025-03-27 20:31:04.838194,31.30,41.50,35.54
2025-03-27 20:31:10.226096,36.10,41.60,40.53
2025-03-27 20:31:15.500764,9.10,41.60,42.57
2025-03-27 20:31:20.762400,10.00,41.40,39.77
2025-03-27 20:31:26.021193,16.10,41.30,33.08
2025-03-27 20:31:31.454423,32.10,41.30,15.47
2025-03-27 20:31:36.862726,26.20,41.30,26.28
2025-03-27 20:31:42.193149,23.40,41.30,20.91
2025-03-27 20:31:47.525751,17.20,41.30,24.13
2025-03-27 20:31:52.810477,30.70,41.50,14.65
2025-03-27 20:31:58.094833,8.50,41.50,17.48
2025-03-27 20:32:03.405312,9.60,41.30,17.31
2025-03-27 20:32:08.700217,7.70,41.30,25.49
2025-03-27 20:32:13.963895,5.30,41.30,24.32
2025-03-27 20:32:19.222573,9.10,41.30,19.38
2025-03-27 20:32:24.509041,21.20,41.30,11.57
2025-03-27 20:32:29.858834,17.80,41.20,10.64
2025-03-27 20:32:35.160696,19.10,41.20,9.76
2025-03-27 20:32:40.446976,17.20,41.10,9.98
2025-03-27 20:32:45.844864,25.90,41.70,7.09
2025-03-27 20:32:51.249256,30.80,42.10,15.21
